1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
248	-1.216304	70.015994	37.351740	0.003826	11
249	-1.202513	71.015994	36.945813	0.001406	11
250	-1.216912	70.911149	36.987958	0.004636	11
251	-1.237590	70.873438	37.003140	0.006417	11
252	-1.213920	71.873438	36.604715	0.002633	11
253	-1.224514	71.766244	36.647013	0.006266	11
254	-1.201300	72.739657	36.266462	0.001000	11
255	-1.208954	73.719787	35.891188	0.002679	11
256	-1.223043	73.629192	35.925549	0.001371	11
257	-1.215010	73.525317	35.965029	0.002873	11
258	-1.227723	74.364925	35.648386	0.002738	11
259	-1.217502	74.257753	35.688494	0.004032	11
260	-1.238256	74.150559	35.728699	0.004027	11
261	-1.219402	75.150557	35.357109	0.003885	11
262	-1.210237	75.043363	35.396571	0.003462	11
263	-1.214721	76.043297	35.031845	0.002242	11
264	-1.221127	76.909179	34.722033	0.002791	11
265	-1.186215	76.801985	34.760089	0.003400	11
266	-1.176485	77.746042	34.427767	0.003126	11
267	-1.199959	78.745971	34.082637	0.003118	11
268	-1.226977	78.638783	34.119302	0.001467	11
269	-1.215324	79.488517	33.830788	0.002225	11
270	-1.203031	79.429430	33.850692	0.002672	11
271	-1.241492	80.371370	33.536153	0.002751	11
272	-1.215500	80.265103	33.571345	0.002223	11
273	-1.212345	81.264758	33.243180	0.004536	11
274	-1.201184	81.157640	33.278037	0.001578	11
275	-1.209383	81.050579	33.312949	0.001767	11
276	-1.226834	81.032177	33.318957	0.003405	11
277	-1.228082	80.924984	33.353998	0.003240	11
278	-1.201897	81.924984	33.029937	0.002794	11
279	-1.223160	82.390893	32.881095	0.002202	11
280	-1.238216	83.384854	32.567998	0.001985	11
281	-1.256595	83.277864	32.601413	0.003665	11
282	-1.200462	84.263544	32.296136	0.002883	11
283	-1.228573	85.263544	31.992211	0.001744	12
284	-1.230178	85.849024	31.816909	0.003363	11
285	-1.221837	85.767647	31.841160	0.002030	11
286	-1.233860	86.267450	31.692799	0.004373	11
287	-1.228625	87.218901	31.414159	0.001927	11
288	-1.214138	87.551325	31.317957	0.004345	12
289	-1.221823	87.444189	31.348897	0.002155	12
290	-1.227213	87.337091	31.379888	0.003355	11
291	-1.211799	87.229896	31.410967	0.002181	11
292	-1.223298	87.122702	31.442108	0.001980	11
293	-1.229180	87.691375	31.277603	0.002819	11
294	-1.224757	87.966178	31.198724	0.002744	12
295	-1.193160	87.858984	31.229445	0.002120	12
296	-1.205348	87.753476	31.259743	0.002325	11
297	-1.213491	87.647071	31.290358	0.002521	11
298	-1.224844	87.663752	31.285554	0.003144	11
299	-1.192421	87.558579	31.315864	0.002838	11
300	-1.205793	87.451390	31.346816	0.002285	11
301	-1.187489	87.353143	31.375239	0.002717	12
302	-1.216912	88.098968	31.160750	0.002903	11
303	-1.227842	89.098965	30.877726	0.001912	11
304	-1.233430	88.991794	30.907812	0.002604	11
305	-1.222996	89.985921	30.630964	0.002294	11
306	-1.209433	89.878731	30.660576	0.003801	11
307	-1.209469	90.878730	30.386524	0.003826	11
308	-1.202774	90.771536	30.415666	0.002991	11
309	-1.204208	90.809101	30.405447	0.003039	11
